v8-version,6,2,414,50,0
code-creation,Builtin,5,3109,0x333c03be2fe0,2864,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,3110,0x333c03be3b80,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,3111,0x333c03be47c0,47,"NumberConstructor"
code-creation,Builtin,5,3112,0x333c03be4860,241,"ToNumber"
code-creation,Builtin,5,3113,0x333c03be49c0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,3114,0x333c03be4b00,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,3115,0x333c03be4b80,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,3116,0x333c03be4c00,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,3117,0x333c03be4c80,15,"NumberPrototypeToString"
code-creation,Builtin,5,3118,0x333c03be4d00,127,"NumberPrototypeValueOf"
